CLINIC,ADDRESS,PHONE,EMAIL
ABE Dent Lanškroun s.r.o.,Pivovarské náměstí 561 563 01 Lanškroun,,
AC-DENT s.r.o.,Nádražní 1/7 789 85 MohelniceTel.:  604186270,  604186270,
AceDental s.r.o.,Na zátorách 613/8 170 00 Praha 7,,
Ad Denta s.r.o.,Na Sadech 1864/23 370 01 České BudějoviceTel.:  386354471,  386354471,
AD Oris Dental s.r.o.,Stupno 181 338 24 BřasyE-mail:  info@adorisdental.cz,,  info@adorisdental.cz
AD4POLLUX s.r.o,Žižkova 151 436 01 Litvínov,,
ADADENT s.r.o.,Hegerova 373 572 01 PoličkaTel.:  461725987E-mail:  s.adamec@unet.cz,  461725987,  s.adamec@unet.cz
ADADENTA PLUS s.r.o.,Kosmická 537/2 149 00 Praha 4,,
Adamantina s.r.o.,Skorkovského 2644/58 636 00 Brno,,
Adámková - stomatologie s.r.o.,Librantice čp. 80 503 46 Třebechovice pod OrebemTel.:  495431263,  495431263,
Adámková - stomatologie s.r.o.,Balbínova 1260 500 03 Hradec Králové,,
"Addent, s.r.o.",Rybnická 51 634 00 BrnoTel.:  777 923 976E-mail:  ordinace@addent.cz,  777 923 976,  ordinace@addent.cz
"Adela Dental Care, s.r.o.",Na Folimance 17 120 00 Praha 2Tel.:  608882224,  608882224,
"Adela-dent s.r.o. - Krátká 1030/4, Plzeň",Krátká 1030/4 301 00 Plzeň,,
ADENTIST PRAHA s.r.o.,Trnkovo náměstí 1112/2 152 00 Praha 5,,
"Adhikari Nisha, B.D.S.",Bohosudovská 378 417 41 Krupka,,
Adonis Dental s.r.o.,Hamplova 1498 277 11 NeratoviceTel.:  736711711E-mail:  recepce@adonisdental.cz,  736711711,  recepce@adonisdental.cz
Advance ORTHO s.r.o.,Pražská 135 541 01 Trutnov - Horní Předměstí,,
AES clinic s.r.o.,Soukalova 3355/3 143 00 Praha 4,,
AF Stomatologie s.r.o.,Jahodova 2240 580 01 Havlíčkův BrodTel.:  792 339 455,  792 339 455,
"AF-DENT, s.r.o.",Purkyňova 1017/22 301 00 PlzeňTel.:  377270390,  377270390,
AgDent s.r.o.,Nerudova 819 349 01 StříbroTel.:  374622953,  374622953,
AGEL Hornická poliklinika s.r.o.,Sokolská třída 2587/81 702 00 OstravaTel.:  597454111,  597454111,
AGEL Stomatologické centrum s.r.o.,"Ulrichovo náměstí 762 500 02 Hradec KrálovéTel.:  605535380, 733320855E-mail:  zubni-ordinace-hk@seznam.cz","  605535380, 733320855",  zubni-ordinace-hk@seznam.cz
AGEL Stomatologické centrum s.r.o.,Vladislavova 1390/17 110 00 Praha 1Tel.:  604 551 117E-mail:  vladislavova@belu.cz,  604 551 117,  vladislavova@belu.cz
AIPa ortodoncie s.r.o.,Dělnická 529 742 21 KopřivniceTel.:  556802311,  556802311,
AIPa ortodoncie s.r.o.,třída Tomáše Bati 32 760 01 Zlín,,
Air-dent s.r.o.,Smetanova 372 473 01 Nový Bor,,
AJNA dental clinic s.r.o.,Poděbradova 2738/16 702 00 OstravaTel.:  605 334 900,  605 334 900,
AJNA dental clinic s.r.o.,Závodní 2885/86 703 00 Ostrava,,
AK DENT zubní ordinace Děčín s.r.o.,Sokolská 129 405 05 Děčín,,
"AK DENT, s.r.o.",Hevlín 460 671 69 HevlínTel.:  530504165,  530504165,
"AK DENT, s.r.o.",Hatě 183 669 02 ChvaloviceTel.:  515206702,  515206702,
"AK DENT, s.r.o.",Hatě 200 671 23 ChvaloviceTel.:  515230030,  515230030,
"AK DENT, s.r.o.",Malinovského 345/1 671 72 MiroslavTel.:  517578011,  517578011,
"AK DENT, s.r.o.",Malinovského 367/23 671 72 MiroslavTel.:  515333583,  515333583,
Akident s.r.o.,Sadová 1042 763 61 Napajedla,,
Akim Dent s.r.o.,Mrštíkova 2451/1b 100 00 Praha 10Tel.:  274812030,  274812030,
Albi Dentes s.r.o.,V Zámku 7 664 07 PozořiceTel.:  +420 775 000 906,  +420 775 000 906,
"ALDENTA, s.r.o.",Palackého třída  659/11 612 00 BrnoTel.:  774035080E-mail:  recepce@aldenta.cz,  774035080,  recepce@aldenta.cz
Aldentex stomatologie s.r.o.,Slavíkovců 313/5 709 00 Ostrava - Mariánské Hory,,
Aldentex stomatologie s.r.o.,Důlní 3347/1 702 00 OstravaTel.:  608155343,  608155343,
ALDIDENT s.r.o.,"Dejvická 919/38,vchod Kyjevská 8 160 00 Praha 6",,
Alexandr Pimachin,Husova 1291/73 460 01 LiberecTel.:  774443828E-mail:  ordinaceap@gmail.com,  774443828,  ordinaceap@gmail.com
"Alexandra Reli, lékař stomatolog","Karolíny Světlé 1662/1e 736 01 Havířov, Podlesí",,
Alexdent s.r.o.,17. listopadu 1790/5 708 00 Ostrava,,
Alexej Samarskyi,Porubská 549/18 708 00 Ostrava,,
ALFA DENTAL s.r.o.,Opletalova 1535/4 110 00 Praha 1Tel.:  778299992,  778299992,
Alfadent s.r.o.,"Horšovská 390/4 155 00 Praha 5Tel.:  251625056, 251625717","  251625056, 251625717",
Algudent s.r.o.,Nábřeží 727 273 06 Libušín,,
Aliaksei Apanasevich,Na Plzeňce 1235/2 150 00 Praha 5,,
Alkadent s.r.o.,Hlavní 88  Frýdlant nad OstravicíTel.:  774 155 350E-mail:  alkadent.sro@gmail.com,  774 155 350,  alkadent.sro@gmail.com
"ALL - DENTE, s.r.o.",Klapkova 1874/83 182 00 Praha 8Tel.:  273136310E-mail:  recepce@all-dente.cz,  273136310,  recepce@all-dente.cz
AllegroDent s.r.o.,"Masarykova 1132/62 312 00 Plzeň, DoubravkaTel.:  373724231",  373724231,
ALMATY s.r.o.,Ppor. Horáčka 2853 276 01 MělníkTel.:  604511977,  604511977,
"ALTADENT, spol. s.r.o.",Merhautova 1070/224 613 00 Brno,,
ALTdent s.r.o.,Rubínová 854/5 312 00 Plzeň,,
Aludentia s.r.o.,Sokolská 374 790 84 MikuloviceTel.:  724727435,  724727435,
Alveol s.r.o.,Partyzánská 976/8 430 01 ChomutovTel.:  474 721 227 E-mail:  georgiev@zubniklinika.cz,  474 721 227 ,  georgiev@zubniklinika.cz
"AM Dent Praha, s.r.o.",Uzbecká 1412/2 101 00 Praha 10Tel.:  284684802E-mail:  info@amdent.cz,  284684802,  info@amdent.cz
Amati Dental Group s.r.o.,Sokolovská 694/100 186 00 Praha 8,,
Ambulance Penta s.r.o.,Slovenská 545 356 01 Sokolov,,
Ambulantní stomatologie Sadská s.r.o.,Palackého nám. 4 289 12 SadskáTel.:  325594290,  325594290,
Amident s.r.o.,Koterovská 2044/124 326 00 Plzeň,,
Amodent s.r.o.,Kvestorská 278/8 140 00 Praha 4Tel.:  724784784,  724784784,
Amodent s.r.o.,Kvestorská 337/5 140 00 Praha 4Tel.:  724784784,  724784784,
AMS dent s.r.o.,Lípová 664/4 460 01 Liberec 1Tel.:  485101094,  485101094,
AMURA spol. s.r.o.,U Hadích lázní 1146/20 415 01 Teplice,,
Anděl Dent s.r.o.,Dělnická 1020/54 170 00 Praha 7Tel.:  777056788,  777056788,
Anděl Dent s.r.o.,Libušská 319/126 142 00 Praha 4Tel.:  774878730,  774878730,
Anděl Dent s.r.o.,Štefánikova 18/25 150 00 Praha 5Tel.:  777056788,  777056788,
ANDENTAL s.r.o.,Čebín 186 664 23 Čebín,,
Anestodent s.r.o.,Havlíčkova 532 280 02 Kolín IV,,
ANK-DENT s.r.o.,Tovární 396/14 460 10 Liberec,,
ANNAMARIA - EU s.r.o.,Pražská 1220 281 63 Kostelec nad Černými LesyTel.:  702200007E-mail:  stom.kostelec@seznam.cz,  702200007,  stom.kostelec@seznam.cz
AP Dent s.r.o.,17. listopadu 904/18 350 02 ChebTel.:  721 911 699,  721 911 699,
AP Dental s.r.o.,Rokytnice 413 755 01 Vsetín,,
AP Medic s.r.o,Štítného 3108 390 02 TáborTel.:  606540424,  606540424,
AP stomatologie s.r.o.,Mokrá 357 664 04 Mokrá,,
APEX medical centrum spol. s r.o.,"Melantrichova 21 796 01 ProstějovTel.:  588882294, 734421260E-mail:  info@apexcentrum.cz","  588882294, 734421260",  info@apexcentrum.cz
"APEX medical centrum, s.r.o.",Palackého 1198/14 779 00 OlomoucTel.:  735 150 501,  735 150 501,
"APEX medical centrum, s.r.o.","Sportovní 898 798 41 Kostelec na HanéTel.:  582373213, 777105592E-mail:  info@apexcentrum.cz","  582373213, 777105592",  info@apexcentrum.cz
APODIS DENT s.r.o.,č.p. 255 277 03 Horní PočaplyTel.:  315614188,  315614188,
APOLENKA s.r.o.,"Pouchovská 190/6A 503 41 Hradec Králové 7Tel.:  495215292, 724129396E-mail:  apolenka.zubniordinace@gmail.com","  495215292, 724129396",  apolenka.zubniordinace@gmail.com
Apollo Dent s.r.o.,Olšanská 2666/7 130 00 Praha 3Tel.:  222580078,  222580078,
APOLLONIA spol. s r.o.,"Bartošova 6 602 00 BrnoTel.:  +420 545 212 514, 602 557 275E-mail:  apolloni@brn.inecnet.cz","  +420 545 212 514, 602 557 275",  apolloni@brn.inecnet.cz
Apolona Dental s.r.o.,Nádražní 2495/20 301 00 Plzeň,,
Aqua Dentes s.r.o.,Mokrého 186 389 01 Vodňany,,
ARAGMA s.r.o.,"Oldřichovice 787 739 61 TřinecTel.:  558348302, 775306338E-mail:  contact@big-smile.eu","  558348302, 775306338",  contact@big-smile.eu
ArbesDentry s.r.o.,Pavla Švandy ze Semčic 1068/13 150 00 Praha 5Tel.:  731440903E-mail:  ordinace@arbesdent.cz,  731440903,  ordinace@arbesdent.cz
"ArcticDent, s.r.o.",Františka Křížka 683/22 170 00 Praha 7Tel.:  233372284E-mail:  arcticdent@seznam.cz,  233372284,  arcticdent@seznam.cz
Archident s.r.o.,Vítězná 1469/9 702 00 OstravaTel.:  596112512,  596112512,
"ARIES, spol. s r.o.",552 03 Velký Třebešov 118Tel.:  491453272,  491453272,
ARS DENT praktické zubní lékařství s.r.o.,Karlovarská 490/24 301 00 PlzeňTel.:  377536313,  377536313,
"Art Dent, s.r.o.",Ortenovo nám. 1494/14 170 00 Praha 7Tel.:  220876745,  220876745,
Art of Dentistry s.r.o.,"Maiselova 76/12 110 00 Praha 1Tel.:  773083658, 608082222","  773083658, 608082222",
Art Smile dental clinic s.r.o.,"Dr.Martínka 1491/7 700 30 Ostrava, Hrabůvka",,
Artis Dental s.r.o.,Náměstí 102 671 28 JaroslaviceTel.:  778 886 464E-mail:  artisdental@seznam.cz,  778 886 464,  artisdental@seznam.cz
ART-MEDICA s.r.o.,Neředínská 683/23a 779 00 OlomoucTel.:  585413467,  585413467,
Artstom s.r.o.,"Rubeška 383/4 190 00 Praha 9Tel.:  777245775, 774223262E-mail:  artstom.cz@email.cz","  777245775, 774223262",  artstom.cz@email.cz
ARX DENTAL s.r.o.,Pivovarská 122 686 01 Uherské HradištěTel.:  572 545 056,  572 545 056,
AS STOMA s.r.o.,Klášterní 117/2 460 05 Liberec 5Tel.:  778055755,  778055755,
ASAP Dental s.r.o.,Ostrovec 233 666 01 Tišnov,,
"Ascendent, s.r.o.",Palackého nám. 22 665 01 Rosice,,
"Ascendent, s.r.o.",Pražská 192/96 642 00 BrnoTel.:  530507510E-mail:  recepce@ascendentclinic.cz,  530507510,  recepce@ascendentclinic.cz
Asina Iuliia,Plzeňská 32/22 266 01 Beroun,,
"ASKLEPION - Lasercentrum Praha, s.r.o.","Londýnská 160/39 120 00 Praha 2Tel.:  234716111,234716000, 234 716 400","  234716111,234716000, 234 716 400",
AS-ORTO s.r.o.,Sokolovská 2036/80 323 00 PlzeňTel.:  377430354,  377430354,
ASTACUS Dent s.r.o.,Herrmannova 593/4 460 01 Liberec,,
ASTACUSTOM s.r.o.,Sportovní 99 269 01 RakovníkTel.:  314002150E-mail:  info@astacustom.cz,  314002150,  info@astacustom.cz
Astella s.r.o.,"Klapkova 731/34 182 00 Praha 8Tel.:  284686224, 733549302E-mail:  ordinace@astella.cz","  284686224, 733549302",  ordinace@astella.cz
ASTRA DENTAL s.r.o.,Ke Stáčírně 607/2 149 00 Praha 4,,
Astra Pura s.r.o.,Habrmannova 1561/28 326 00 Plzeň,,
AT Dent s.r.o.,"Ostrovského 253/3 150 00 Praha 5Tel.:  251622746, 776079850E-mail:  info@atdent.cz","  251622746, 776079850",  info@atdent.cz
ATA-DENT spol. s.r.o.,Nedvězská 2229/14 100 00 Praha 10,,
Atelier Art s.r.o.,Okružní 2160 288 02 Nymburk,,
ATMA Dent s.r.o.,Sadová 1596/33 678 01 BlanskoTel.:  516488453,  516488453,
ATMA Dent s.r.o.,Sadová 33 678 01 BlanskoTel.:  516488453E-mail:  tomas.rehorek@gmail.com,  516488453,  tomas.rehorek@gmail.com
ATMA Dent s.r.o.,K. H. Máchy 2342/17 678 01 BlanskoTel.:  518527874,  518527874,
Audacia klinik s.r.o.,Palackého náměstí 68 278 01 Kralupy nad VltavouTel.:  737537627,  737537627,
AURA MEDICAL CLINIC s.r.o.,Koněvova 31 130 00 Praha 3Tel.:  222582002,  222582002,
Aurora Dent s.r.o.,Sokolská 1638/37 120 00 Praha 2,,
AV - DENT spol. s r.o.,Radnická 11 602 00 BrnoTel.:  542216553,  542216553,
AV dental s. r.o.,Sulická 2033/54 142 00 Praha 4Tel.:  774414908E-mail:  info@avdental.cz,  774414908,  info@avdental.cz
AVE DENT s.r.o.,Štefánikova 566/26 500 11 Hradec KrálovéTel.:  734 711 707E-mail:  zubarka.hk@centrum.cz,  734 711 707,  zubarka.hk@centrum.cz
AVE Dental s.r.o.,Olomoucká 648/29 618 00 BrnoTel.:  725834474,  725834474,
AVEdent PLUS s.r.o.,Hrnčířská 261/22 748 01 Hlučín,,
Avicenna Dent s.r.o.,Březinova 398 394 03 Horní CerekevTel.:  725936416E-mail:  avicennadent@post.cz,  725936416,  avicennadent@post.cz
Avicenna Dent s.r.o.,Družstevní 449 588 51 BatelovTel.:  566531106,  566531106,
AvicennaBarandov s.r.o.,"Krškova 807/21 152 00 Praha 5Tel.:  251814247, 776372247","  251814247, 776372247",
Avicenum Medical s.r.o.,U Nemocnice 3064 415 03 TepliceTel.:  602224005E-mail:  zubar@atlas.cz,  602224005,  zubar@atlas.cz
AVORELHEM s.r.o.,Sídliště Plešivec 255 381 01 Český Krumlov,,
AvramovaDent s.r.o.,Bezručova 547/14 293 01 Mladá Boleslav,,
AvramovaDent s.r.o.,Na Kotli 661/6 500 09 Hradec Králové,,
AVR-Dent s.r.o.,285 42 Červené Janovice 36,,
AXION Dental Dock Cheb s.r.o.,K Nemocnici 2381/2 350 02 Cheb,,
AXION Dental Dock s.r.o.,Kischova 1732/5 140 00 Praha 4,,
AZ - Dental s.r.o.,Antonína Uxy 1290 330 23 NýřanyTel.:  377930558,  377930558,
AZ EsteDent s.r.o.,Palackého 208/45 290 01 Poděbrady,,
"B - Orto, s.r.o.","Pod Všemi svatými 1653/48 301 00 Plzeň, Severní PředměstíTel.:  773992455",  773992455,
B smile s.r.o.,594 53 Osová Bítýška 303Tel.:  566536712E-mail:  info@zubniob.cz,  566536712,  info@zubniob.cz
"B+B DENT, s.r.o.",T. G. Masaryka 602 738 01 Frýdek MístekTel.:  558633506,  558633506,
"B+B Medical, s.r.o.",Kpt. Vosky 684 284 01 Kutná HoraTel.:  721176101E-mail:  BlazejovaOlga@seznam.cz,  721176101,  BlazejovaOlga@seznam.cz
B4 Dent s.r.o.,Mlýnská 558 403 31 Ústí nad LabemTel.:  472733883,  472733883,
Bahník Dent s.r.o.,Třebízského 799 517 41 Kostelec nad OrlicíTel.:  494323152,  494323152,
BajoDent s.r.o.,Vítkovická 3083/1 702 00 Ostrava,,
BAKON spol. s r.o.,Mukařovská 3116/24 100 00 Praha 10Tel.:  284819831,  284819831,
Bamorla Dent s.r.o.,"Studentská 1554/1 736 01 HavířovTel.:  604 802 309, 777 665 874","  604 802 309, 777 665 874",
BaraDental s.r.o.,Bratislavská 183/2 602 00 Brno,,
